arm_id,arm,n_labels,labels_drawn,seeds,pr_auc,pr_auc_lo,pr_auc_hi,roc_auc,lift_vs_tabular,lift_lo,lift_hi,chart
0,base_rate,300,300,10,0.08420000000000001,0.07639499999999999,0.092,0.5,-0.05174525181374311,-0.09489939378728272,-0.021505723783481073,True
0,base_rate,1000,1000,1,0.0842,0.07639499999999999,0.092,0.5,-0.08456227335295347,-0.10492010471900035,-0.06875533395254331,True
1,tabular,300,300,10,0.13594525181374312,0.10353501698058595,0.1806386002110517,0.6428034572786328,0.0,0.0,0.0,True
1,tabular,1000,1000,1,0.16876227335295346,0.14936526572061853,0.19329826984906995,0.7380084855005216,0.0,0.0,0.0,True
2,tfidf,300,300,10,0.20156911159985147,0.16681064441464125,0.24527713242286298,0.71575492579726,0.06562385978610835,0.006377414819447286,0.12496684495340667,False
2,tfidf,1000,1000,1,0.24193792904708483,0.206263342936965,0.28201314306559566,0.767261364102048,0.07317565569413137,0.041379371224294685,0.10926098192560016,False
3,bge,300,300,10,0.16419509131600607,0.11756036100828514,0.21603238240210787,0.6447181416349244,0.028249839502262952,-0.01530120490085699,0.08588093386687999,False
3,bge,1000,1000,1,0.23200095963605963,0.1970619061039132,0.2705910630558593,0.7144876512053633,0.06323868628310617,0.03267851166783105,0.09663775862943177,False
4,bge_tab,300,300,10,0.14132904017265435,0.10106083316558875,0.1963680212251355,0.6303752958746398,0.0053837883589112345,-0.0417887155978888,0.038559130048772275,True
4,bge_tab,1000,1000,1,0.18272396696291646,0.16116734957627826,0.2082770154690036,0.7427922784953928,0.013961693609962994,-0.0013358403865291343,0.029188281781414478,True
5,nli20,300,300,10,0.13978377762810967,0.10997813662661968,0.1778628334283441,0.618129859593445,0.0038385258143665557,-0.043968493301832966,0.05069488060197637,False
5,nli20,1000,1000,1,0.1624807382764129,0.13943855887895779,0.1910721240219799,0.6704593260879602,-0.006281535076540556,-0.030330257364315997,0.023023983594549473,False
6,jev20,300,300,10,0.16109916263022744,0.13112119828429677,0.19702574018768396,0.6383971232918638,0.025153910816484326,-0.019816163280756117,0.06500153928672883,False
6,jev20,1000,1000,1,0.18167216821295182,0.1572561947263207,0.2140917661066715,0.6969595265798266,0.012909894859998355,-0.014092707518226402,0.04382833379597546,False
7,jev_direct,300,300,10,0.14787639928891733,0.1310953071178629,0.17343257881028157,0.6843638131114937,0.011931147475174209,-0.03131705193719381,0.049489525241724265,False
7,jev_direct,1000,1000,1,0.14787639928891733,0.1310953071178629,0.17343257881028157,0.6843638131114936,-0.020885874064036136,-0.04376821299891655,0.0028685524565631197,False
8,nli20_tab,300,300,10,0.13739506794166811,0.10704642685411302,0.1906750891264961,0.6248028928927318,0.0014498161279249966,-0.035599952216867445,0.06638290513184095,True
8,nli20_tab,1000,1000,1,0.15824340984837684,0.1362541961951115,0.18642460018426665,0.6692719370004239,-0.01051886350457662,-0.03330255043058826,0.015049500519729827,True
9,jev20_tab,300,300,10,0.14022673772295308,0.08255417533927199,0.18376034651304962,0.611757590030704,0.004281485909209959,-0.03127063371335885,0.04427455286249288,True
9,jev20_tab,1000,1000,1,0.19453431441457109,0.16697193059744264,0.23262311038215677,0.7098096805669174,0.025772041061617623,-0.001290442667346196,0.05997701928679994,True
